"","Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species"
"ASVf90","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum"
"ASVf95","Eukaryota","Opisthokonta","Metazoa","Craniata","Craniata_X","Craniata_XX","Capra","Capra_hircus"
"ASVf98","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Strombidiida_A","Strombidiida_A_X","Strombidiida_A_XX","Strombidiida_A_XX_sp."
"ASVf101","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum_sp."
"ASVf103","Eukaryota","Alveolata","Ciliophora","Oligohymenophorea","Peritrichia_1","Trichodinidae","Trichodina_1","Trichodina_1_sp."
"ASVf109","Eukaryota","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Filinia","Filinia_longiseta"
"ASVf110","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas","Chlamydomonas_reinhardtii"
"ASVf114","Eukaryota","Stramenopiles","Pseudofungi","Oomycota","Oomycota_X","Order_Oomycota_X","Order_Oomycota_X","Order_Oomycota_X"
"ASVf119","Eukaryota","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Family_Rotifera_XX","Family_Rotifera_XX"
"ASVf120","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Strobilidiidae_X","Strobilidiidae_X_sp."
"ASVf122","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Stephanodiscus","Stephanodiscus_minutulus"
"ASVf123","Eukaryota","Stramenopiles","Opalozoa","Bicoecea","Pseudodendromonadales","Pseudodendromonadales_X","Adriamonas","Adriamonas_peritocrescens"
"ASVf126","Eukaryota","Stramenopiles","Pseudofungi","Oomycota","Oomycota_X","Peronosporales","Pythiaceae","Pythiaceae_sp."
"ASVf135","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Thalassiosira","Thalassiosira_pseudonana"
"ASVf137","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Basal_Cryptophyceae-1","Basal_Cryptophyceae-1_X","Basal_Cryptophyceae-1_X_sp."
"ASVf139","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas","Chlamydomonas_noctigama"
"ASVf143","Eukaryota","Stramenopiles","Pseudofungi","Oomycota","Oomycota_X","Peronosporales","Peronosporales_X","Peronosporales_X_sp."
"ASVf147","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Thoracosphaeraceae","Naiadinium","Naiadinium_polonicum"
"ASVf160","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonadales_XX","Chlamydomonadales_XX_sp."
"ASVf167","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Watanabea-Clade","Watanabea-Clade_X","Diplosphaera","Diplosphaera_sp."
"ASVf169","Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycotina","Saccharomycetales","Saccharomyces","Saccharomyces_cerevisiae"
"ASVf171","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Trebouxiophyceae_X","Trebouxiophyceae_XX","Botryococcus","Botryococcus_braunii"
"ASVf174","Eukaryota","Alveolata","Ciliophora","Oligohymenophorea","Peritrichia_2","Sessilida","Vorticella","Vorticella_microstoma"
"ASVf180","Eukaryota","Archaeplastida","Chlorophyta","Mamiellophyceae","Monomastigales","Monomastigaceae","Monomastigaceae_X","Monomastigaceae_X_sp."
"ASVf186","Eukaryota","Alveolata","Apicomplexa","Colpodellidea","Colpodellida","Alphamonaceae","Alphamonadea_ALPH2","Alphamonadea_ALPH2_sp."
"ASVf190","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae_C","Strobilidiidae_C_X","Strobilidiidae_C_X_sp."
"ASVf191","Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Pedinellales","Family_Pedinellales","Family_Pedinellales"
"ASVf194","Eukaryota","Rhizaria","Cercozoa","Filosa-Thecofilosea","Cryomonadida","Protaspa-lineage","Protaspa-lineage_X","Protaspa-lineage_X_sp."
"ASVf195","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium_furcoides"
"ASVf200","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Cyclopidae","Cyclopidae_sp."
"ASVf203","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Brachypodium","Brachypodium_distachyon"
"ASVf215","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Malassezia","Malassezia_restricta"
"ASVf220","Eukaryota","Stramenopiles","Opalozoa","MAST-12","MAST-12_X","MAST-12_XX","MAST-12_XXX","MAST-12_XXX_sp."
"ASVf239","Eukaryota","Stramenopiles","Pseudofungi","Oomycota","Oomycota_X","Saprolegniales","Saprolegnia","Saprolegnia_parasitica"
"ASVf256","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Thoracosphaeraceae","Thoracosphaeraceae_X","Thoracosphaeraceae_X_sp."
"ASVf258","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-H","Chrysophyceae_Clade-H_X","Chrysophyceae_Clade-H_X_sp."
"ASVf284","Eukaryota","Alveolata","Ciliophora","CONThreeP","CONThreeP_X","CONThreeP_XX","Askenasia","Askenasia_sp."
"ASVf288","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycetes","Family_Chytridiomycetes","Family_Chytridiomycetes"
